startIp,endIp,continent,countryCode,country,state,city,zip,timezone,isDst,latitude,longitude,accuracy,sources
0.239.249.144,0.239.249.151,EU,DK,Denmark,Capital Region,Copenhagen,2720,Europe/Berlin,1,55.67594,12.56553,2.4,geofeed|https://api.arelion.com/public/v1/geolocation
1.0.0.0,1.0.0.255,OC,AU,Australia,Queensland,Brisbane,4000,Australia/Brisbane,0,-27.46754,153.02809,1.2,tp1
1.0.1.0,1.0.3.255,AS,CN,China,Fujian,Fuzhou,350000,Asia/Shanghai,0,26.06139,119.30611,1.1,tp1
1.0.4.0,1.0.6.255,OC,AU,Australia,Victoria,Melbourne,8383,Australia/Melbourne,0,-37.81401,144.96317,1.1,tp1
1.0.7.0,1.0.7.255,OC,AU,Australia,Queensland,Warren,4702,Australia/Brisbane,0,-23.5,150.28333,1.2,tp1
1.0.8.0,1.0.15.255,AS,CN,China,Guangdong,Guangzhou,510000,Asia/Shanghai,0,23.12736,113.26457,1.3,tp1;tp2
1.0.16.0,1.0.31.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.6,tp1;tp2;tp4
1.0.32.0,1.0.63.255,AS,CN,China,Guangdong,Guangzhou,510000,Asia/Shanghai,0,23.12736,113.26457,1.3,tp1;tp2
1.0.64.0,1.0.66.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.67.0,1.0.67.255,AS,JP,Japan,Hiroshima Ken,Gion,731-3272,Asia/Tokyo,0,34.53333,132.4,1.2,tp1
1.0.68.0,1.0.79.255,AS,JP,Japan,Hiroshima Ken,Hiroshima,730-0805,Asia/Tokyo,0,34.38587,132.45543,1.8,tp1;tp2;tp4
1.0.80.0,1.0.82.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1,tp1
1.0.83.0,1.0.83.255,AS,JP,Japan,Tottori Ken,Kurayoshi,682-8633,Asia/Tokyo,0,35.433,133.817,1.2,tp1
1.0.84.0,1.0.85.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.86.0,1.0.86.255,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.50011,134.23284,1.2,tp1
1.0.87.0,1.0.87.255,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
1.0.88.0,1.0.89.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.90.0,1.0.91.255,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.5,134.233,1.5,tp1;tp2
1.0.92.0,1.0.92.255,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
1.0.93.0,1.0.93.255,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.50011,134.23284,1.2,tp1
1.0.94.0,1.0.95.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.96.0,1.0.96.255,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
1.0.97.0,1.0.100.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.101.0,1.0.101.255,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.50011,134.23284,1.5,tp1;tp2
1.0.102.0,1.0.102.255,AS,JP,Japan,Shimane Ken,Izumo,699-0906,Asia/Tokyo,0,35.367,132.767,1.2,tp1
1.0.103.0,1.0.103.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
1.0.104.0,1.0.104.255,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
1.0.105.0,1.0.107.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.108.0,1.0.108.255,AS,JP,Japan,Shimane Ken,Izumo,699-0906,Asia/Tokyo,0,35.367,132.767,1.2,tp1
1.0.109.0,1.0.109.255,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
1.0.110.0,1.0.111.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.112.0,1.0.112.255,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
1.0.113.0,1.0.114.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.115.0,1.0.115.255,AS,JP,Japan,Yamaguchi Ken,Iwakuni,742-0492,Asia/Tokyo,0,34.15,132.183,1.2,tp1
1.0.116.0,1.0.116.255,AS,JP,Japan,Shimane Ken,Matsue,699-0496,Asia/Tokyo,0,35.467,133.05,1.2,tp1
1.0.117.0,1.0.117.255,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
1.0.118.0,1.0.119.255,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.1,tp1
1.0.120.0,1.0.120.255,AS,JP,Japan,Shimane Ken,Matsue,699-0496,Asia/Tokyo,0,35.467,133.05,1.2,tp1
